pl_name,hostname,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff
Kepler-25 b,Kepler-25,3,0,6.23829700,0.069445,2.748,0.245,8.70000,0.02750,Mass,2.320000,,6103.00
Kepler-25 c,Kepler-25,3,0,12.72070000,0.111666,5.217,0.465,15.20000,0.04790,Mass,0.588000,,6354.00
Kepler-25 d,Kepler-25,3,0,122.40000000,0.416422,10.000,0.894,71.90000,0.22600,Mass,0.395000,,6270.00
Kepler-250 b,Kepler-250,3,0,4.14814100,0.048000,1.130,0.101,1.51000,0.00474,M-R relationship,5.750000,,5160.00
Kepler-250 c,Kepler-250,3,0,7.15680400,0.069000,2.280,0.203,5.82000,0.01830,M-R relationship,2.700000,,5160.00
Kepler-250 d,Kepler-250,3,0,17.64831200,0.127000,2.180,0.194,5.39000,0.01700,M-R relationship,2.860000,,5160.00
Kepler-251 b,Kepler-251,4,0,4.79093600,0.053000,1.330,0.119,2.33000,0.00733,M-R relationship,5.440000,,5526.00
Kepler-251 c,Kepler-251,4,0,16.51404300,0.122000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,,5526.00
Kepler-251 d,Kepler-251,4,0,30.13300100,0.182000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,,5526.00
Kepler-251 e,Kepler-251,4,0,99.64016100,0.404000,2.770,0.247,8.10000,0.02550,M-R relationship,2.090000,,5526.00
Kepler-252 b,Kepler-252,2,0,6.66839100,0.058000,1.230,0.110,2.04000,0.00642,M-R relationship,6.020000,M0 V,4208.00
Kepler-252 c,Kepler-252,2,0,10.84846300,0.080000,2.150,0.192,5.27000,0.01660,M-R relationship,2.910000,M0 V,4208.00
Kepler-253 b,Kepler-253,3,0,3.78398600,0.046000,1.630,0.145,3.29000,0.01040,M-R relationship,4.170000,,5208.00
Kepler-253 c,Kepler-253,3,0,10.28195100,0.089000,2.650,0.236,7.51000,0.02360,M-R relationship,2.220000,,5208.00
Kepler-253 d,Kepler-253,3,0,18.11986900,0.130000,3.170,0.283,10.20000,0.03200,M-R relationship,1.760000,,5208.00
Kepler-254 b,Kepler-254,3,0,5.82666200,0.064000,3.870,0.345,14.30000,0.04490,M-R relationship,1.360000,,5957.00
Kepler-254 c,Kepler-254,3,0,12.41218300,0.105000,2.150,0.192,3.20000,0.01000,Mass,1.770000,,5957.00
Kepler-254 d,Kepler-254,3,0,18.74647700,0.139000,2.500,0.223,6.80000,0.02140,M-R relationship,2.390000,,5957.00
Kepler-255 b,Kepler-255,3,0,5.71460600,0.063000,1.550,0.138,3.02000,0.00951,M-R relationship,4.460000,,5573.00
Kepler-255 c,Kepler-255,3,0,9.94604700,0.092000,2.990,0.267,9.22000,0.02900,M-R relationship,1.900000,,5573.00
Kepler-255 d,Kepler-255,3,0,1.04562266,0.019200,1.320,0.118,2.30000,0.00724,M-R relationship,5.500000,,5431.00
Kepler-256 b,Kepler-256,4,0,1.62049300,0.027000,1.590,0.142,3.15000,0.00993,M-R relationship,4.310000,,5551.00
Kepler-256 c,Kepler-256,4,0,3.38802000,0.045000,2.150,0.192,5.27000,0.01660,M-R relationship,2.910000,,5551.00
Kepler-256 d,Kepler-256,4,0,5.83917200,0.064000,2.480,0.221,6.71000,0.02110,M-R relationship,2.420000,,5551.00
Kepler-256 e,Kepler-256,4,0,10.68157200,0.096000,2.350,0.210,6.12000,0.01930,M-R relationship,2.590000,,5551.00
Kepler-257 b,Kepler-257,3,0,2.38266700,0.034000,2.610,0.233,7.32000,0.02300,M-R relationship,2.260000,,5180.00
Kepler-257 c,Kepler-257,3,0,6.58148400,0.066000,5.410,0.483,25.20000,0.07940,M-R relationship,0.875000,,5180.00
Kepler-257 d,Kepler-257,3,0,24.66455100,0.160000,4.950,0.442,21.70000,0.06830,M-R relationship,0.983000,,5180.00
Kepler-258 b,Kepler-258,2,0,13.19722000,0.103000,4.060,0.362,15.50000,0.04880,M-R relationship,1.270000,,4942.00
Kepler-258 c,Kepler-258,2,0,33.65307900,0.193000,3.610,0.322,12.70000,0.03990,M-R relationship,1.480000,,4942.00
Kepler-259 b,Kepler-259,2,0,8.11531700,0.079000,2.800,0.250,8.25000,0.02590,M-R relationship,2.070000,,5938.00
Kepler-259 c,Kepler-259,2,0,36.92493100,0.217000,2.700,0.241,7.75000,0.02440,M-R relationship,2.160000,,5938.00
Kepler-26 b,Kepler-26,4,0,12.28000000,0.085510,2.780,0.248,5.12000,0.01611,Mass,1.260000,M0 V,3914.00
Kepler-26 c,Kepler-26,4,0,17.25590000,0.107250,2.720,0.243,6.20000,0.01951,Mass,1.610000,M0 V,3914.00
Kepler-26 d,Kepler-26,4,0,3.54391900,0.039000,1.070,0.095,1.24000,0.00390,M-R relationship,5.560000,M0 V,4486.00
Kepler-26 e,Kepler-26,4,0,46.82791500,0.220000,2.410,0.215,6.39000,0.02010,M-R relationship,2.510000,M0 V,4486.00
Kepler-260 b,Kepler-260,2,0,8.18739900,0.075000,2.010,0.179,4.70000,0.01480,M-R relationship,3.180000,,5250.00
Kepler-260 c,Kepler-260,2,0,76.05017800,0.332000,1.740,0.155,3.68000,0.01160,M-R relationship,3.840000,,5250.00
Kepler-261 b,Kepler-261,2,0,10.38122700,0.088000,2.180,0.194,5.39000,0.01700,M-R relationship,2.860000,,5098.00
Kepler-261 c,Kepler-261,2,0,24.57085800,0.156000,2.000,0.178,4.66000,0.01470,M-R relationship,3.200000,,5098.00
Kepler-262 b,Kepler-262,2,0,13.06085500,0.108000,1.360,0.121,2.42000,0.00761,M-R relationship,5.290000,,5841.00
Kepler-262 c,Kepler-262,2,0,21.85372200,0.152000,1.640,0.146,3.33000,0.01050,M-R relationship,4.150000,,5841.00
Kepler-263 b,Kepler-263,2,0,16.56808700,0.120000,2.670,0.238,7.61000,0.02390,M-R relationship,2.200000,,5265.00
Kepler-263 c,Kepler-263,2,0,47.33277300,0.242000,2.470,0.220,6.66000,0.02100,M-R relationship,2.430000,,5265.00
Kepler-264 b,Kepler-264,2,0,40.80623100,0.249000,3.330,0.297,11.10000,0.03480,M-R relationship,1.650000,,6158.00
Kepler-264 c,Kepler-264,2,0,140.10126100,0.566000,2.830,0.252,8.40000,0.02640,M-R relationship,2.040000,,6158.00
Kepler-265 b,Kepler-265,4,0,6.84626200,0.069000,1.860,0.166,4.12000,0.01300,M-R relationship,3.520000,,5835.00
Kepler-265 c,Kepler-265,4,0,17.02893700,0.127000,2.630,0.235,7.41000,0.02330,M-R relationship,2.240000,,5835.00
Kepler-265 d,Kepler-265,4,0,43.13061700,0.236000,2.490,0.222,6.76000,0.02130,M-R relationship,2.410000,,5835.00
Kepler-265 e,Kepler-265,4,0,67.83102400,0.319000,2.590,0.231,7.22000,0.02270,M-R relationship,2.280000,,5835.00
Kepler-266 b,Kepler-266,2,0,6.61833000,0.071000,2.480,0.221,6.71000,0.02110,M-R relationship,2.420000,,5885.00
Kepler-266 c,Kepler-266,2,0,107.72360100,0.457000,3.890,0.347,14.40000,0.04530,M-R relationship,1.340000,,5885.00
Kepler-267 b,Kepler-267,3,0,3.35372800,0.037000,1.980,0.177,37.90000,0.11900,Mass,26.800000,M1 V,4258.00
Kepler-267 c,Kepler-267,3,0,6.87745000,0.060000,2.130,0.190,5.18000,0.01630,M-R relationship,2.950000,M1 V,4258.00
Kepler-267 d,Kepler-267,3,0,28.46451500,0.154000,2.270,0.203,5.77000,0.01820,M-R relationship,2.710000,M1 V,4258.00
Kepler-268 b,Kepler-268,2,0,25.93413800,0.180000,2.550,0.227,7.04000,0.02210,M-R relationship,2.330000,,6081.00
Kepler-268 c,Kepler-268,2,0,83.44639300,0.391000,3.380,0.302,11.40000,0.03570,M-R relationship,1.620000,,6081.00
Kepler-269 b,Kepler-269,2,0,5.32671800,0.061000,2.470,0.220,6.66000,0.02100,M-R relationship,2.430000,,5847.00
Kepler-269 c,Kepler-269,2,0,8.12789900,0.081000,1.690,0.151,3.50000,0.01100,M-R relationship,3.980000,,5847.00
Kepler-27 d,Kepler-27,3,0,6.54628992,0.066800,2.706,0.241,7.78000,0.02450,M-R relationship,2.160000,,5251.00
Kepler-270 b,Kepler-270,2,0,11.47609400,0.107000,2.010,0.179,4.70000,0.01480,M-R relationship,3.180000,,6067.00
Kepler-270 c,Kepler-270,2,0,25.26288700,0.180000,1.770,0.158,3.78000,0.01190,M-R relationship,3.750000,,6067.00
Kepler-271 b,Kepler-271,3,0,10.43547805,0.088100,1.230,0.110,2.04000,0.00642,M-R relationship,6.020000,,5555.00
Kepler-271 c,Kepler-271,3,0,7.41086267,0.070200,0.950,0.085,0.80900,0.00254,M-R relationship,5.180000,,5555.00
Kepler-271 d,Kepler-271,3,0,5.24972541,0.055800,0.660,0.059,0.21900,0.00069,M-R relationship,4.190000,,5555.00
Kepler-272 b,Kepler-272,3,0,2.97135300,0.038000,1.430,0.128,78.00000,0.24500,Mass,147.000000,,5297.00
Kepler-272 c,Kepler-272,3,0,6.05734200,0.061000,1.790,0.160,97.80000,0.30800,Mass,93.700000,,5297.00
Kepler-272 d,Kepler-272,3,0,10.93730400,0.091000,2.250,0.201,5.69000,0.01790,M-R relationship,2.740000,,5297.00
Kepler-273 b,Kepler-273,2,0,2.93653200,0.037000,1.500,0.134,2.86000,0.00899,M-R relationship,4.660000,,5626.00
Kepler-273 c,Kepler-273,2,0,8.01492700,0.073000,1.980,0.177,4.58000,0.01440,M-R relationship,3.240000,,5626.00
Kepler-274 b,Kepler-274,2,0,11.63478800,0.101000,1.540,0.137,2.99000,0.00940,M-R relationship,4.500000,,6023.00
Kepler-274 c,Kepler-274,2,0,33.19786100,0.204000,1.840,0.164,4.04000,0.01270,M-R relationship,3.560000,,6023.00
Kepler-275 b,Kepler-275,3,0,10.30068200,0.098000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,,6165.00
Kepler-275 c,Kepler-275,3,0,16.08813400,0.132000,3.380,0.302,11.40000,0.03570,M-R relationship,1.620000,,6165.00
Kepler-275 d,Kepler-275,3,0,35.67606200,0.224000,3.330,0.297,11.10000,0.03480,M-R relationship,1.650000,,6165.00
Kepler-276 b,Kepler-276,3,0,14.12841000,0.119000,2.870,0.256,8.60000,0.02710,M-R relationship,2.000000,,6105.00
Kepler-276 c,Kepler-276,3,0,31.88400000,0.199400,2.900,0.259,16.60000,0.05200,Mass,3.740000,,5779.00
Kepler-276 d,Kepler-276,3,0,48.64800000,0.264200,2.800,0.250,16.30000,0.05100,Mass,4.080000,,5779.00
Kepler-277 b,Kepler-277,2,0,17.32400000,0.138500,2.920,0.261,87.30000,0.27500,Mass,19.300000,,5946.00
Kepler-277 c,Kepler-277,2,0,33.00600000,0.212900,3.360,0.300,64.20000,0.20200,Mass,9.300000,,5946.00
Kepler-278 b,Kepler-278,2,0,30.16054600,0.207000,4.070,0.363,15.60000,0.04900,M-R relationship,1.270000,,4991.00
Kepler-278 c,Kepler-278,2,0,51.07877500,0.294000,3.590,0.320,12.60000,0.03960,M-R relationship,1.500000,,4991.00
Kepler-279 b,Kepler-279,3,0,12.30968100,0.112000,3.620,0.323,12.80000,0.04010,M-R relationship,1.480000,,6363.00
Kepler-279 c,Kepler-279,3,0,35.73600000,0.223600,4.300,0.384,49.40000,0.15500,Mass,0.300000,,6689.45
Kepler-279 d,Kepler-279,3,0,54.41400000,0.290100,3.100,0.277,37.50000,0.11800,Mass,0.300000,,6689.45
Kepler-280 b,Kepler-280,2,0,2.13954200,0.032000,1.450,0.129,2.70000,0.00849,M-R relationship,4.870000,,5744.00
Kepler-280 c,Kepler-280,2,0,4.80709100,0.056000,2.010,0.179,4.70000,0.01480,M-R relationship,3.180000,,5744.00
Kepler-281 b,Kepler-281,3,0,14.64600800,0.117000,2.820,0.252,8.35000,0.02630,M-R relationship,2.050000,,5723.00
Kepler-281 c,Kepler-281,3,0,36.33737300,0.215000,5.310,0.474,24.40000,0.07690,M-R relationship,0.896000,,5723.00
Kepler-281 d,Kepler-281,3,0,148.27200320,0.545600,5.937,0.530,29.50000,0.09300,M-R relationship,0.774000,,5717.00
Kepler-282 b,Kepler-282,4,0,9.22052400,0.082000,1.010,0.090,1.01000,0.00317,M-R relationship,5.390000,,5602.00
Kepler-282 c,Kepler-282,4,0,13.63872300,0.106000,1.200,0.107,1.87000,0.00588,M-R relationship,5.950000,,5602.00
Kepler-282 d,Kepler-282,4,0,24.80600000,0.154000,2.460,0.219,61.00000,0.19200,Mass,22.500000,,5699.00
Kepler-282 e,Kepler-282,4,0,44.34700000,0.226900,3.100,0.277,56.20000,0.17700,Mass,10.400000,,5699.00
Kepler-283 b,Kepler-283,2,0,11.00815100,0.082000,2.130,0.190,5.18000,0.01630,M-R relationship,2.950000,,4351.00
Kepler-283 c,Kepler-283,2,0,92.74371100,0.341000,1.820,0.162,3.97000,0.01250,M-R relationship,3.620000,,4351.00
Kepler-284 b,Kepler-284,2,0,12.69914900,0.104000,2.240,0.200,5.65000,0.01780,M-R relationship,2.760000,,5615.00
Kepler-284 c,Kepler-284,2,0,37.51445600,0.213000,2.610,0.233,7.32000,0.02300,M-R relationship,2.260000,,5615.00
Kepler-285 b,Kepler-285,2,0,2.63386700,0.036000,1.340,0.120,2.36000,0.00742,M-R relationship,5.390000,,5411.00
Kepler-285 c,Kepler-285,2,0,6.18667600,0.064000,1.120,0.100,1.46000,0.00459,M-R relationship,5.710000,,5411.00
Kepler-286 b,Kepler-286,4,0,1.79630200,0.027000,1.240,0.111,2.07000,0.00651,M-R relationship,5.970000,,5580.00
